State,County,Metro/Small Town/Rural Status,Percent with SNAP,Percent Margin of Error (±)
Colorado,Lincoln County,Rural area,9.3%,2.5%
Nebraska,Jefferson County,Rural area,9.3%,2.5%
Virginia,Patrick County,Rural area,9.3%,2.4%
Texas,Leon County,Rural area,9.3%,2.4%
Wisconsin,Winnebago County,Metro area,9.3%,0.7%
Montana,Ravalli County,Rural area,9.3%,1.6%
Florida,Alachua County,Metro area,9.3%,0.9%
Ohio,Preble County,Rural area,9.3%,1.1%
Alabama,Madison County,Metro area,9.3%,0.7%
Pennsylvania,Sullivan County,Rural area,9.3%,2.0%
Pennsylvania,Snyder County,Small town,9.3%,1.2%
Florida,Clay County,Metro area,9.3%,1.2%
California,Tuolumne County,Small town,9.3%,1.7%
North Carolina,Carteret County,Small town,9.3%,1.1%
Hawaii,Honolulu County,Metro area,9.3%,0.3%
South Dakota,Minnehaha County,Metro area,9.3%,0.8%
Texas,Lipscomb County,Rural area,9.3%,3.1%
Texas,Wise County,Metro area,9.3%,1.4%
Wisconsin,Buffalo County,Rural area,9.3%,1.9%
Nebraska,Douglas County,Metro area,9.3%,0.4%
Nebraska,Burt County,Rural area,9.2%,2.2%
Kansas,Sherman County,Rural area,9.2%,5.3%
Missouri,Livingston County,Rural area,9.2%,2.2%
Oklahoma,Noble County,Rural area,9.2%,2.4%
Nevada,Carson City,Metro area,9.2%,1.4%
Tennessee,Davidson County,Metro area,9.2%,0.5%
South Dakota,Pennington County,Metro area,9.2%,1.0%
Wisconsin,Polk County,Rural area,9.2%,0.9%
Oklahoma,Payne County,Small town,9.2%,1.3%
Michigan,Huron County,Rural area,9.2%,1.0%
Texas,Austin County,Metro area,9.2%,2.4%
Florida,Walton County,Metro area,9.2%,1.7%
New York,Yates County,Metro area,9.2%,1.9%
New York,Wyoming County,Rural area,9.2%,1.5%
Tennessee,Robertson County,Metro area,9.2%,1.3%
Texas,San Saba County,Rural area,9.2%,2.8%
Idaho,Nez Perce County,Metro area,9.2%,1.7%
South Dakota,Beadle County,Small town,9.2%,2.3%
Missouri,McDonald County,Rural area,9.2%,2.0%
Virginia,Franklin County,Metro area,9.2%,1.6%
New York,Essex County,Rural area,9.2%,1.8%
Mississippi,Lee County,Small town,9.2%,1.3%
Kentucky,Nelson County,Small town,9.1%,1.4%
Maine,York County,Metro area,9.1%,1.0%
Georgia,Whitfield County,Metro area,9.1%,1.3%
Montana,Yellowstone County,Metro area,9.1%,0.8%
Minnesota,Pipestone County,Rural area,9.1%,2.4%
Missouri,Daviess County,Rural area,9.1%,2.0%
Iowa,Jones County,Metro area,9.1%,2.0%
Montana,Missoula County,Metro area,9.1%,0.9%
Maine,Hancock County,Rural area,9.1%,1.1%
Florida,Pinellas County,Metro area,9.1%,0.4%
New Jersey,Mercer County,Metro area,9.1%,0.6%
Delaware,New Castle County,Metro area,9.1%,0.6%
North Carolina,Avery County,Rural area,9.1%,2.3%
Kansas,Saline County,Small town,9.1%,1.6%
Missouri,Carroll County,Rural area,9.1%,2.3%
Montana,Phillips County,Rural area,9.1%,3.6%
Oklahoma,Logan County,Metro area,9.1%,1.9%
Florida,Manatee County,Metro area,9.1%,0.6%
Minnesota,Kanabec County,Rural area,9.1%,1.4%
Ohio,Butler County,Metro area,9.1%,0.6%
Arkansas,Marion County,Rural area,9.1%,1.8%
Kansas,Osborne County,Rural area,9.0%,3.4%
Missouri,Nodaway County,Small town,9.0%,2.2%
Utah,Grand County,Rural area,9.0%,4.5%
Texas,Coke County,Rural area,9.0%,3.5%
Maine,Lincoln County,Rural area,9.0%,1.4%
Minnesota,Stearns County,Metro area,9.0%,0.9%
Maryland,Talbot County,Small town,9.0%,1.4%
Vermont,Addison County,Rural area,9.0%,1.3%
North Carolina,Jackson County,Small town,9.0%,1.8%
Michigan,Eaton County,Metro area,9.0%,0.9%
Missouri,Gentry County,Rural area,9.0%,2.0%
Illinois,Ogle County,Small town,9.0%,1.6%
Massachusetts,Hampshire County,Metro area,9.0%,0.9%
Washington,Lincoln County,Rural area,9.0%,2.3%
Wisconsin,Dodge County,Small town,9.0%,0.9%
Michigan,Marquette County,Small town,9.0%,1.1%
Virginia,Caroline County,Rural area,9.0%,2.0%
Wisconsin,Grant County,Small town,9.0%,1.2%
Pennsylvania,Butler County,Metro area,9.0%,0.7%
Alabama,Limestone County,Metro area,9.0%,1.3%
Texas,Coleman County,Rural area,9.0%,4.0%
Washington,Jefferson County,Rural area,9.0%,1.9%
Wisconsin,Jefferson County,Small town,9.0%,0.9%
Kentucky,Marshall County,Rural area,9.0%,2.0%
Minnesota,Kandiyohi County,Small town,9.0%,1.5%
Texas,Somervell County,Rural area,9.0%,4.5%
Illinois,Jersey County,Metro area,9.0%,2.4%
Arkansas,Faulkner County,Metro area,8.9%,1.0%
Indiana,Jackson County,Small town,8.9%,1.7%
Virginia,Charlottesville city,Metro area,8.9%,1.4%
Texas,Howard County,Small town,8.9%,1.7%
Iowa,Winnebago County,Rural area,8.9%,3.3%
Illinois,Will County,Metro area,8.9%,0.5%
Pennsylvania,Montour County,Metro area,8.9%,2.3%
Nebraska,Knox County,Rural area,8.9%,1.7%
Washington,Whitman County,Small town,8.9%,1.3%
Ohio,Ashland County,Small town,8.9%,1.5%
Georgia,Echols County,Metro area,8.9%,4.5%
Georgia,Henry County,Metro area,8.9%,1.2%
Georgia,Lumpkin County,Rural area,8.9%,2.2%
Texas,Hopkins County,Small town,8.9%,1.6%
Iowa,Sac County,Rural area,8.9%,1.9%
Georgia,Dawson County,Metro area,8.9%,3.2%
Tennessee,Cheatham County,Metro area,8.9%,1.8%
Alabama,Lee County,Metro area,8.9%,1.0%
Georgia,Hall County,Metro area,8.9%,0.9%
Maine,Knox County,Rural area,8.9%,1.5%
New York,Tompkins County,Metro area,8.9%,0.9%
South Dakota,Turner County,Metro area,8.9%,2.0%
Ohio,Wyandot County,Rural area,8.9%,1.5%
Oklahoma,Dewey County,Rural area,8.8%,2.8%
Indiana,Fulton County,Rural area,8.8%,2.6%
Virginia,Culpeper County,Metro area,8.8%,2.0%
Texas,Gaines County,Rural area,8.8%,3.1%
Iowa,Ida County,Rural area,8.8%,2.1%
Georgia,Dade County,Metro area,8.8%,2.7%
Florida,Lee County,Metro area,8.8%,0.5%
Texas,Waller County,Metro area,8.8%,2.7%
New York,Ontario County,Metro area,8.8%,1.0%
South Dakota,Lawrence County,Small town,8.8%,2.5%
South Carolina,Dorchester County,Metro area,8.8%,1.1%
Texas,Brazos County,Metro area,8.8%,0.8%
Illinois,Carroll County,Rural area,8.8%,2.0%
North Dakota,Richland County,Small town,8.8%,2.0%
Texas,Montague County,Rural area,8.8%,2.2%
Iowa,Emmet County,Rural area,8.8%,1.8%
Missouri,Linn County,Rural area,8.8%,1.9%
California,San Benito County,Metro area,8.8%,1.2%
Washington,Snohomish County,Metro area,8.8%,0.5%
Iowa,Harrison County,Metro area,8.7%,1.5%
Missouri,Adair County,Small town,8.7%,1.8%
Illinois,Clinton County,Metro area,8.7%,1.5%
Illinois,Grundy County,Metro area,8.7%,1.3%
Kentucky,Hardin County,Metro area,8.7%,1.0%
Iowa,Hamilton County,Rural area,8.7%,2.7%
Nebraska,Keith County,Rural area,8.7%,2.5%
Minnesota,Hubbard County,Rural area,8.7%,1.2%
California,Santa Barbara County,Metro area,8.7%,0.7%
Minnesota,Red Lake County,Rural area,8.7%,2.1%
Texas,Tom Green County,Metro area,8.7%,1.1%
Wisconsin,Marathon County,Metro area,8.7%,0.7%
Wisconsin,Taylor County,Rural area,8.7%,1.4%
Texas,Wilson County,Metro area,8.7%,1.9%
Kentucky,Fayette County,Metro area,8.7%,0.5%
Iowa,Osceola County,Rural area,8.7%,2.2%
Maine,Sagadahoc County,Metro area,8.7%,1.6%
Missouri,Lewis County,Small town,8.7%,2.1%
Indiana,Cass County,Small town,8.7%,1.7%
Nebraska,Custer County,Rural area,8.7%,2.4%
California,Lassen County,Small town,8.7%,2.0%
Montana,Lewis and Clark County,Small town,8.7%,1.4%
Alaska,Anchorage Municipality,Metro area,8.7%,0.6%
Montana,Judith Basin County,Rural area,8.6%,3.5%
Idaho,Clearwater County,Rural area,8.6%,2.0%
Oklahoma,Wagoner County,Metro area,8.6%,0.7%
Montana,Fergus County,Rural area,8.6%,2.7%
Iowa,Dubuque County,Metro area,8.6%,1.0%
Iowa,Butler County,Rural area,8.6%,1.8%
Texas,Briscoe County,Rural area,8.6%,4.5%
Missouri,Camden County,Rural area,8.6%,1.7%
Tennessee,Humphreys County,Rural area,8.6%,2.3%
Texas,Reagan County,Rural area,8.6%,4.7%
Tennessee,Sumner County,Metro area,8.6%,0.9%
Vermont,Lamoille County,Rural area,8.6%,1.7%
Vermont,Grand Isle County,Metro area,8.6%,2.4%
Oklahoma,Cleveland County,Metro area,8.6%,0.7%
Wisconsin,Walworth County,Small town,8.6%,1.0%
California,Trinity County,Rural area,8.6%,2.9%
New York,Westchester County,Metro area,8.6%,0.4%
Oregon,Washington County,Metro area,8.6%,0.4%
Colorado,Adams County,Metro area,8.6%,0.5%
Texas,Franklin County,Rural area,8.5%,3.0%
North Carolina,New Hanover County,Metro area,8.5%,0.8%
Colorado,El Paso County,Metro area,8.5%,0.4%
Iowa,Linn County,Metro area,8.5%,0.7%
Nevada,Churchill County,Small town,8.5%,2.0%
Wisconsin,Green County,Metro area,8.5%,1.1%
Indiana,Montgomery County,Small town,8.5%,1.5%
Kansas,Labette County,Small town,8.5%,1.7%
Iowa,Audubon County,Rural area,8.5%,1.9%
Texas,Caldwell County,Metro area,8.5%,1.8%
California,Santa Cruz County,Metro area,8.5%,0.8%
Texas,Winkler County,Rural area,8.5%,4.5%
Nebraska,Johnson County,Rural area,8.5%,2.9%
North Carolina,Mecklenburg County,Metro area,8.5%,0.4%
Tennessee,Marshall County,Small town,8.5%,1.9%
Iowa,Worth County,Small town,8.5%,2.0%
Missouri,Jefferson County,Metro area,8.5%,0.7%
Texas,Concho County,Rural area,8.5%,5.1%
Connecticut,Fairfield County,Metro area,8.5%,0.4%
Arizona,Maricopa County,Metro area,8.5%,0.2%
Nebraska,Morrill County,Rural area,8.5%,2.9%
Georgia,Gilmer County,Rural area,8.5%,1.8%
South Carolina,Pickens County,Metro area,8.4%,1.0%
Texas,Hutchinson County,Small town,8.4%,1.8%
Kansas,Seward County,Small town,8.4%,2.9%
Wisconsin,Brown County,Metro area,8.4%,0.7%
Ohio,Greene County,Metro area,8.4%,0.9%
Texas,Walker County,Small town,8.4%,1.6%
Florida,Seminole County,Metro area,8.4%,0.6%
Indiana,Harrison County,Metro area,8.4%,2.2%
Ohio,Fulton County,Metro area,8.4%,1.4%
Georgia,Coweta County,Metro area,8.4%,1.1%
South Carolina,Horry County,Metro area,8.4%,0.8%
Texas,Johnson County,Metro area,8.4%,0.9%
Illinois,Lake County,Metro area,8.4%,0.4%
Wyoming,Fremont County,Small town,8.4%,1.1%
Virginia,Isle of Wight County,Metro area,8.4%,1.6%
Indiana,Daviess County,Small town,8.4%,1.8%
Illinois,Henderson County,Small town,8.4%,2.2%
Wisconsin,Sheboygan County,Metro area,8.4%,0.8%
South Dakota,Sanborn County,Rural area,8.4%,2.6%
Hawaii,Maui County,Metro area,8.4%,0.8%
Rhode Island,Newport County,Metro area,8.4%,1.1%
Wisconsin,Columbia County,Metro area,8.4%,1.2%
Indiana,Jennings County,Small town,8.3%,1.8%
Wisconsin,La Crosse County,Metro area,8.3%,0.9%
Texas,Guadalupe County,Metro area,8.3%,1.2%
North Carolina,Cabarrus County,Metro area,8.3%,0.9%
Wisconsin,Door County,Rural area,8.3%,1.6%
Minnesota,Cottonwood County,Rural area,8.3%,1.9%
Missouri,Callaway County,Metro area,8.3%,2.0%
West Virginia,Monongalia County,Metro area,8.3%,1.2%
Florida,Charlotte County,Metro area,8.3%,0.8%
Missouri,Howard County,Metro area,8.3%,2.4%
Minnesota,Koochiching County,Rural area,8.3%,2.2%
Illinois,Kendall County,Metro area,8.3%,1.7%
Minnesota,Norman County,Rural area,8.3%,1.6%
Arkansas,Baxter County,Small town,8.3%,1.4%
Georgia,Bryan County,Metro area,8.3%,2.3%
Nevada,Lander County,Rural area,8.3%,4.7%
Wisconsin,Trempealeau County,Rural area,8.3%,0.8%
Nebraska,Richardson County,Rural area,8.3%,2.7%
Kansas,Wichita County,Rural area,8.2%,5.5%
Arizona,Greenlee County,Rural area,8.2%,3.6%
Oklahoma,Major County,Rural area,8.2%,2.1%
Ohio,Darke County,Small town,8.2%,1.2%
Missouri,Macon County,Rural area,8.2%,1.6%
Alaska,Juneau City and Borough,Small town,8.2%,1.4%
Virginia,Warren County,Metro area,8.2%,1.9%
Kansas,Kiowa County,Rural area,8.2%,3.3%
Arkansas,Little River County,Metro area,8.2%,2.4%
North Dakota,McHenry County,Small town,8.2%,2.4%
Texas,Sutton County,Rural area,8.2%,6.6%
Colorado,Archuleta County,Rural area,8.2%,2.6%
Idaho,Caribou County,Rural area,8.2%,3.2%
Nebraska,Saline County,Rural area,8.2%,2.9%
Kansas,Shawnee County,Metro area,8.2%,0.8%
Indiana,Pike County,Small town,8.2%,2.6%
Nevada,Elko County,Small town,8.2%,2.4%
Illinois,Moultrie County,Rural area,8.2%,1.9%
Colorado,Grand County,Rural area,8.2%,3.5%
Kansas,Woodson County,Rural area,8.2%,2.6%
Florida,Okaloosa County,Metro area,8.2%,1.0%
South Dakota,Day County,Rural area,8.2%,1.9%
Missouri,Monroe County,Rural area,8.2%,2.0%
Minnesota,Carlton County,Metro area,8.2%,1.6%
Montana,Flathead County,Small town,8.1%,1.1%
Texas,Chambers County,Metro area,8.1%,2.5%
Minnesota,Aitkin County,Rural area,8.1%,0.9%
Texas,Delta County,Rural area,8.1%,3.5%
Wisconsin,Iowa County,Metro area,8.1%,1.2%
Ohio,Clermont County,Metro area,8.1%,0.8%
Kentucky,Anderson County,Small town,8.1%,2.1%
Wisconsin,Pepin County,Rural area,8.1%,1.9%
Wyoming,Hot Springs County,Rural area,8.1%,3.2%
Minnesota,Benton County,Metro area,8.1%,1.3%
North Dakota,Ramsey County,Rural area,8.1%,2.7%
North Carolina,Camden County,Metro area,8.1%,3.2%
Missouri,Lincoln County,Metro area,8.1%,1.5%
Pennsylvania,Lancaster County,Metro area,8.1%,0.4%
Nebraska,Madison County,Small town,8.1%,1.3%
Florida,Flagler County,Metro area,8.1%,1.1%
Maryland,Charles County,Metro area,8.1%,1.0%
California,Alpine County,Rural area,8.1%,5.5%
Texas,Lavaca County,Rural area,8.1%,1.9%
California,Solano County,Metro area,8.0%,0.6%
Indiana,Ripley County,Rural area,8.0%,1.9%
Missouri,Shelby County,Rural area,8.0%,1.8%
Ohio,Wayne County,Small town,8.0%,0.7%
Washington,King County,Metro area,8.0%,0.3%
Kansas,Ford County,Small town,8.0%,2.2%
Nebraska,Franklin County,Rural area,8.0%,2.4%
Texas,Colorado County,Rural area,8.0%,2.1%
Alaska,Petersburg Borough,Rural area,8.0%,2.0%
Minnesota,Hennepin County,Metro area,8.0%,0.3%
Wisconsin,Fond du Lac County,Metro area,8.0%,1.1%
Minnesota,Lyon County,Small town,8.0%,1.5%
Virginia,King and Queen County,Metro area,8.0%,3.0%
Montana,Custer County,Rural area,8.0%,2.4%
Kansas,Ottawa County,Small town,8.0%,2.9%
Tennessee,Maury County,Metro area,8.0%,1.2%
Virginia,Louisa County,Rural area,8.0%,1.6%
Ohio,Shelby County,Small town,8.0%,1.4%
Georgia,Lee County,Metro area,8.0%,2.0%
North Dakota,Renville County,Small town,8.0%,2.7%
Iowa,Warren County,Metro area,8.0%,1.2%
Missouri,St. Louis County,Metro area,8.0%,0.4%
California,Monterey County,Metro area,8.0%,0.6%
Iowa,Floyd County,Rural area,7.9%,2.2%
Georgia,Paulding County,Metro area,7.9%,1.3%
Michigan,Grand Traverse County,Small town,7.9%,1.2%
Kansas,Osage County,Metro area,7.9%,1.6%
Indiana,DeKalb County,Small town,7.9%,1.3%
Florida,Indian River County,Metro area,7.9%,0.9%
Montana,Carbon County,Metro area,7.9%,1.8%
Colorado,Denver County,Metro area,7.9%,0.4%
Iowa,Guthrie County,Metro area,7.9%,1.6%
Utah,Tooele County,Metro area,7.9%,1.5%
Indiana,Lawrence County,Small town,7.9%,1.3%
California,Calaveras County,Rural area,7.9%,1.8%
South Carolina,Greenville County,Metro area,7.9%,0.5%
Ohio,Van Wert County,Small town,7.9%,1.8%
Arizona,Yavapai County,Metro area,7.9%,0.7%
Georgia,Pickens County,Metro area,7.9%,2.1%
Montana,Granite County,Rural area,7.9%,3.8%
Kansas,Phillips County,Rural area,7.9%,3.0%
North Dakota,Pierce County,Rural area,7.8%,3.2%
South Dakota,Brule County,Rural area,7.8%,2.9%
South Carolina,York County,Metro area,7.8%,0.8%
Missouri,Schuyler County,Small town,7.8%,2.8%
Nebraska,Clay County,Rural area,7.8%,1.8%
New Jersey,Warren County,Metro area,7.8%,0.9%
Virginia,King William County,Metro area,7.8%,3.2%
Minnesota,Renville County,Rural area,7.8%,1.3%
Illinois,Jo Daviess County,Rural area,7.8%,1.5%
Mississippi,Union County,Rural area,7.8%,2.5%
Idaho,Kootenai County,Metro area,7.8%,1.0%
Iowa,Carroll County,Small town,7.8%,1.7%
Kansas,Coffey County,Rural area,7.8%,2.2%
North Dakota,Golden Valley County,Rural area,7.8%,5.1%
Virginia,Bland County,Small town,7.8%,3.1%
South Dakota,Gregory County,Rural area,7.8%,2.5%
Missouri,Gasconade County,Rural area,7.8%,2.3%
North Carolina,Buncombe County,Metro area,7.8%,0.7%
Connecticut,Middlesex County,Metro area,7.8%,0.8%
Texas,Llano County,Rural area,7.8%,1.9%
Tennessee,Blount County,Metro area,7.8%,0.8%
North Carolina,Henderson County,Metro area,7.8%,0.9%
Wisconsin,Oconto County,Metro area,7.7%,1.1%
Minnesota,Nobles County,Small town,7.7%,1.9%
Ohio,Henry County,Rural area,7.7%,1.5%
Minnesota,Crow Wing County,Small town,7.7%,1.1%
Texas,Erath County,Small town,7.7%,2.4%
Missouri,Cole County,Metro area,7.7%,1.2%
Wyoming,Goshen County,Rural area,7.7%,2.8%
Montana,Broadwater County,Rural area,7.7%,3.9%
Virginia,Manassas city,Metro area,7.7%,1.7%
Idaho,Oneida County,Rural area,7.7%,3.7%
Minnesota,Freeborn County,Small town,7.7%,1.2%
Colorado,Ouray County,Small town,7.7%,3.1%
Kansas,Franklin County,Small town,7.7%,1.8%
Indiana,Bartholomew County,Metro area,7.7%,1.0%
Kansas,Linn County,Metro area,7.7%,2.2%
Texas,Brazoria County,Metro area,7.7%,0.7%
North Dakota,Pembina County,Rural area,7.7%,2.2%
Kansas,Doniphan County,Metro area,7.6%,2.2%
Wisconsin,Waupaca County,Rural area,7.6%,1.1%
Indiana,Pulaski County,Rural area,7.6%,2.4%
Georgia,Monroe County,Metro area,7.6%,2.1%
California,Inyo County,Rural area,7.6%,1.6%
Minnesota,Waseca County,Rural area,7.6%,2.3%
Nebraska,Lancaster County,Metro area,7.6%,0.6%
Iowa,Buchanan County,Rural area,7.6%,1.5%
Idaho,Franklin County,Metro area,7.6%,3.0%
Virginia,Madison County,Metro area,7.6%,2.7%
Georgia,Towns County,Rural area,7.6%,2.1%
Texas,Kerr County,Small town,7.6%,1.4%
California,San Diego County,Metro area,7.6%,0.2%
Minnesota,Lincoln County,Rural area,7.6%,1.5%
Tennessee,Rutherford County,Metro area,7.6%,0.7%
Colorado,Weld County,Metro area,7.6%,0.6%
South Carolina,Berkeley County,Metro area,7.6%,0.7%
Michigan,Charlevoix County,Rural area,7.6%,1.5%
Montana,Meagher County,Rural area,7.6%,6.4%
Texas,Bastrop County,Metro area,7.6%,1.4%
Kentucky,Kenton County,Metro area,7.6%,0.8%
Alaska,Sitka City and Borough,Rural area,7.6%,1.8%
Maryland,Queen Anne's County,Metro area,7.5%,1.4%
Iowa,Hancock County,Rural area,7.5%,1.9%
Illinois,Calhoun County,Metro area,7.5%,3.0%
Nebraska,Dawson County,Small town,7.5%,1.6%
Indiana,Clark County,Metro area,7.5%,1.0%
Montana,Park County,Rural area,7.5%,1.9%
Illinois,Cumberland County,Small town,7.5%,1.9%
Wisconsin,Portage County,Small town,7.5%,0.9%
Connecticut,Litchfield County,Small town,7.5%,0.7%
Virginia,Northumberland County,Rural area,7.5%,2.7%
Maine,Cumberland County,Metro area,7.5%,0.6%
Kentucky,Scott County,Metro area,7.5%,1.2%
South Dakota,Codington County,Small town,7.5%,1.6%
Missouri,Warren County,Metro area,7.5%,1.8%
Indiana,Elkhart County,Metro area,7.5%,0.9%
South Dakota,Moody County,Rural area,7.5%,2.2%
Idaho,Bonner County,Small town,7.5%,1.5%
Utah,Millard County,Rural area,7.5%,2.6%
Texas,Kimble County,Rural area,7.5%,2.9%
Colorado,Garfield County,Small town,7.5%,1.8%
Iowa,Clayton County,Rural area,7.5%,1.2%
Indiana,Jay County,Rural area,7.5%,1.5%
Ohio,Miami County,Metro area,7.5%,1.0%
Oklahoma,McClain County,Metro area,7.5%,1.5%
Georgia,Effingham County,Metro area,7.5%,1.4%
Missouri,Moniteau County,Metro area,7.5%,1.8%
New Jersey,Union County,Metro area,7.5%,0.5%
North Carolina,Polk County,Rural area,7.5%,1.6%
Texas,Archer County,Metro area,7.5%,2.1%
Virginia,Williamsburg city,Metro area,7.5%,2.7%
Nebraska,Buffalo County,Small town,7.5%,1.0%
Mississippi,DeSoto County,Metro area,7.5%,0.7%
New Hampshire,Sullivan County,Small town,7.5%,1.6%
Illinois,Schuyler County,Rural area,7.5%,3.2%
Missouri,Clinton County,Metro area,7.5%,2.0%
Indiana,Decatur County,Small town,7.4%,2.1%
Minnesota,Clay County,Metro area,7.4%,1.3%
Maryland,Harford County,Metro area,7.4%,0.6%
Idaho,Gooding County,Rural area,7.4%,2.4%
Montana,Beaverhead County,Rural area,7.4%,2.5%
Wisconsin,Vernon County,Rural area,7.4%,1.0%
Indiana,Floyd County,Metro area,7.4%,0.9%
Idaho,Bear Lake County,Rural area,7.4%,2.2%
Nebraska,Otoe County,Rural area,7.4%,2.1%
New Hampshire,Merrimack County,Small town,7.4%,0.8%
Texas,Comanche County,Rural area,7.4%,2.3%
Nebraska,Pierce County,Small town,7.4%,2.6%
North Carolina,Alexander County,Metro area,7.4%,1.5%
Kansas,Edwards County,Rural area,7.4%,3.1%
Minnesota,Wilkin County,Small town,7.4%,2.8%
New York,Dutchess County,Metro area,7.3%,0.6%
Tennessee,Loudon County,Metro area,7.3%,1.6%
Mississippi,Itawamba County,Small town,7.3%,2.2%
Iowa,O'Brien County,Rural area,7.3%,1.9%
Indiana,Perry County,Rural area,7.3%,1.8%
Alaska,Chugach Census Area,Rural area,7.3%,4.2%
Texas,Washington County,Small town,7.3%,1.8%
New Hampshire,Strafford County,Metro area,7.3%,1.1%
Louisiana,St. Tammany Parish,Metro area,7.3%,0.9%
Indiana,Morgan County,Metro area,7.3%,1.2%
Colorado,Gunnison County,Rural area,7.3%,2.4%
Minnesota,Rock County,Rural area,7.3%,2.1%
Idaho,Cassia County,Small town,7.3%,1.8%
Idaho,Custer County,Rural area,7.3%,3.4%
Kansas,Riley County,Metro area,7.3%,1.3%
Missouri,Franklin County,Metro area,7.3%,1.1%
Nebraska,Garden County,Rural area,7.3%,3.0%
Minnesota,Meeker County,Rural area,7.3%,1.2%
North Carolina,Iredell County,Metro area,7.3%,0.7%
Utah,Weber County,Metro area,7.3%,0.6%
Michigan,Barry County,Rural area,7.3%,1.0%
Massachusetts,Middlesex County,Metro area,7.3%,0.3%
North Dakota,Divide County,Rural area,7.2%,4.5%
Florida,Collier County,Metro area,7.2%,0.6%
Minnesota,Blue Earth County,Metro area,7.2%,1.0%
Tennessee,Wilson County,Metro area,7.2%,1.0%
Virginia,Gloucester County,Metro area,7.2%,1.8%
Missouri,Johnson County,Small town,7.2%,1.3%
Illinois,Putnam County,Small town,7.2%,1.8%
South Dakota,Hughes County,Small town,7.2%,2.5%
Louisiana,Cameron Parish,Metro area,7.2%,4.8%
California,Ventura County,Metro area,7.2%,0.3%
Nebraska,Butler County,Rural area,7.2%,2.3%
Virginia,Henrico County,Metro area,7.2%,0.6%
Kansas,Rawlins County,Rural area,7.2%,3.6%
Minnesota,Pope County,Rural area,7.2%,1.5%
Montana,Teton County,Rural area,7.2%,1.9%
Ohio,Putnam County,Rural area,7.2%,1.1%
New Jersey,Cape May County,Metro area,7.2%,1.2%
Kansas,Geary County,Metro area,7.2%,2.1%
Iowa,Boone County,Metro area,7.2%,1.5%
Missouri,Chariton County,Rural area,7.1%,1.6%
Nebraska,Box Butte County,Rural area,7.1%,2.8%
Nebraska,Dawes County,Rural area,7.1%,4.4%
Minnesota,Isanti County,Metro area,7.1%,1.2%
Massachusetts,Norfolk County,Metro area,7.1%,0.4%
Michigan,Emmet County,Rural area,7.1%,1.2%
South Dakota,Davison County,Small town,7.1%,2.9%
North Carolina,Union County,Metro area,7.0%,0.7%
Michigan,Benzie County,Small town,7.0%,1.7%
Virginia,Salem city,Metro area,7.0%,2.0%
Missouri,Stone County,Rural area,7.0%,1.3%
Michigan,Oakland County,Metro area,7.0%,0.3%
Missouri,Boone County,Metro area,7.0%,0.9%
Minnesota,Olmsted County,Metro area,7.0%,0.8%
Iowa,Mills County,Metro area,7.0%,2.2%
Alaska,Southeast Fairbanks Census Area,Rural area,7.0%,2.1%
Nebraska,Holt County,Rural area,7.0%,2.1%
Ohio,Lake County,Metro area,7.0%,0.6%
Vermont,Chittenden County,Metro area,7.0%,0.7%
Minnesota,Nicollet County,Metro area,7.0%,1.5%
Massachusetts,Barnstable County,Metro area,7.0%,0.7%
Texas,Burnet County,Rural area,7.0%,1.4%
Oklahoma,Canadian County,Metro area,7.0%,1.0%
North Carolina,Moore County,Small town,7.0%,1.0%
North Dakota,Grand Forks County,Metro area,7.0%,1.0%
Michigan,Washtenaw County,Metro area,7.0%,0.5%
Montana,Carter County,Rural area,7.0%,3.8%
Nevada,Pershing County,Rural area,6.9%,3.0%
Indiana,Posey County,Metro area,6.9%,1.8%
Washington,Island County,Small town,6.9%,1.1%
Pennsylvania,Adams County,Metro area,6.9%,0.8%
Missouri,Clay County,Metro area,6.9%,0.7%
Kentucky,Bullitt County,Metro area,6.9%,1.3%
Nebraska,Phelps County,Rural area,6.9%,2.3%
California,Alameda County,Metro area,6.9%,0.3%
Missouri,Ste. Genevieve County,Rural area,6.9%,2.2%
Kansas,Lyon County,Small town,6.9%,1.9%
New Jersey,Gloucester County,Metro area,6.9%,0.7%
South Dakota,McCook County,Metro area,6.9%,2.2%
Nevada,White Pine County,Rural area,6.9%,2.9%
Utah,Box Elder County,Metro area,6.9%,1.5%
Iowa,Howard County,Rural area,6.9%,2.5%
Minnesota,Faribault County,Rural area,6.9%,1.7%
Ohio,Auglaize County,Small town,6.9%,1.4%
California,San Francisco County,Metro area,6.9%,0.3%
Texas,Bandera County,Metro area,6.9%,2.0%
Oklahoma,Harper County,Rural area,6.9%,3.2%
Kansas,Jewell County,Rural area,6.9%,2.4%
Minnesota,Todd County,Rural area,6.9%,0.9%
West Virginia,Doddridge County,Small town,6.8%,2.8%
South Dakota,Hutchinson County,Rural area,6.8%,2.0%
Indiana,Spencer County,Rural area,6.8%,1.5%
Nebraska,Loup County,Rural area,6.8%,6.4%
Ohio,Ottawa County,Metro area,6.8%,1.1%
Minnesota,McLeod County,Small town,6.8%,1.3%
North Dakota,Ransom County,Rural area,6.8%,1.9%
New Hampshire,Belknap County,Small town,6.8%,1.3%
Kansas,Wallace County,Rural area,6.8%,4.9%
Iowa,Hardin County,Rural area,6.8%,1.0%
New Hampshire,Grafton County,Small town,6.8%,1.2%
Missouri,Cass County,Metro area,6.8%,0.8%
Iowa,Washington County,Metro area,6.8%,1.7%
